姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
于秀英,8,女,1965,無黨籍及未經政黨推薦,6888,8.39%,*,是
尤瑞春,5,女,1962,民主進步黨,11203,14.29%,*,是
尤碧鈴,9,女,1949,無黨籍及未經政黨推薦,15920,12.23%,*,是
尤慶賀,12,男,1960,無黨籍及未經政黨推薦,7469,8.46%,*,是
方信淵,3,男,1965,中國國民黨,17808,13.27%,*,是
王又民,3,男,1974,中國國民黨,6446,7.44%,*,是
王士壬,6,男,1951,台灣團結聯盟,7164,8.70%,*,是
王士毅,15,男,1948,中國國民黨,4765,6.89%,*,是
王世堅,8,男,1960,民主進步黨,25102,12.69%,*,是
王立任,1,男,1969,民主進步黨,16562,12.73%,*,否
王孝維,6,男,1961,民主進步黨,17401,7.94%,*,是
王志豐,2,男,1962,中國國民黨,11032,10.50%,*,是
王定宇,12,男,1969,民主進步黨,15640,16.70%,*,否
王岳彬,4,男,1960,民主進步黨,13971,11.17%,*,否
王幸悅,2,女,1956,民主進步黨,8722,14.72%,*,是
王欣儀,4,女,1970,中國國民黨,17595,5.70%,*,是
王威中,15,男,1983,民主進步黨,20649,6.75%,*,否
王秋足,11,女,1954,中國國民黨,5550,9.81%,*,是
王美惠,10,女,1965,民主進步黨,8261,10.30%,*,是
王家貞,6,女,1957,中國國民黨,9691,11.19%,*,否
王浩,2,男,1957,中國國民黨,18081,9.62%,*,是
王浩宇,16,男,1988,綠黨,16269,9.06%,*,否
王_澧,1,男,1964,中國國民黨,8459,14.00%,*,否
王啟敏,3,男,1955,中國國民黨,8893,21.44%,*,是
王彩雲,11,女,1962,中國國民黨,5607,9.67%,*,是
王淑慧,5,女,1955,民主進步黨,21866,7.98%,*,是
王閔生,9,男,1975,民主進步黨,22993,7.46%,*,否
王聖仁,1,男,1960,民主進步黨,14518,7.97%,*,否
王樹圍,8,男,1955,無黨籍及未經政黨推薦,6786,8.38%,*,否
王燕美,3,女,1955,無黨籍及未經政黨推薦,3745,20.59%,*,是
王錦德,2,男,1957,民主進步黨,14817,15.09%,*,是
王鴻薇,12,女,1964,中國國民黨,18472,7.67%,*,是
王耀裕,6,男,1961,中國國民黨,17743,17.98%,*,否
王鐵道,10,男,1951,無黨籍及未經政黨推薦,5884,10.04%,*,是
史金象,7,男,1958,民主進步黨,5186,22.54%,*,是
田石雄,6,男,1948,中國國民黨,3010,6.72%,*,是
白玉如,4,女,1968,中國國民黨,7567,4.60%,*,否
白珮茹,5,女,1975,中國國民黨,25743,23.77%,*,是
白閔傑,1,男,1976,無黨籍及未經政黨推薦,11525,7.80%,*,否
石永城,18,男,1973,無黨籍及未經政黨推薦,2177,8.79%,*,否
成萬貫,3,男,1961,無黨籍及未經政黨推薦,2209,30.21%,*,是
朱信強,1,男,1968,無黨籍及未經政黨推薦,14668,18.62%,*,否
朱暖英,2,女,1965,中國國民黨,11571,14.23%,*,是
江文登,13,男,1971,民主進步黨,8823,10.19%,*,是
江永昌,2,男,1969,民主進步黨,38503,18.72%,*,是
江志銘,11,男,1962,民主進步黨,14592,6.66%,*,是
江熊一楓,6,女,1952,民主進步黨,13369,19.75%,*,是
江碧華,14,女,1956,中國國民黨,4571,9.53%,*,是
江維屏,1,男,1964,民主進步黨,9629,10.91%,*,是
江肇國,6,男,1977,民主進步黨,20843,29.75%,*,否
江聰淵,1,男,1969,民主進步黨,6056,12.54%,*,是
何子凡,4,男,1981,無黨籍及未經政黨推薦,4496,8.32%,*,否
何文海,9,男,1958,民主進步黨,13870,17.06%,*,是
何旭昇,10,男,1968,無黨籍及未經政黨推薦,5376,9.07%,*,否
何志偉,18,男,1982,民主進步黨,26283,8.59%,*,是
何明杰,1,男,1975,民主進步黨,14286,15.02%,*,是
何欣純,11,女,1973,民主進步黨,22582,16.12%,*,否
何敏誠,5,男,1955,民主進步黨,15701,15.01%,*,是
何淑_,4,女,1967,民主進步黨,24987,8.18%,*,是
何淑萍,4,女,1971,中國國民黨,2573,9.81%,*,是
何淦銘,11,男,1959,無黨籍及未經政黨推薦,5698,9.32%,*,否
何勝豐,7,男,1957,中國國民黨,6625,14.89%,*,是
何博文,8,男,1973,民主進步黨,35304,12.89%,*,否
何輝能,12,男,1949,民主進步黨,7987,9.76%,*,是
何禮臺,1,男,1962,中國國民黨,3817,51.25%,*,是
何權峰,12,男,1980,民主進步黨,20901,11.83%,*,否
余邦彥,4,男,1971,中國國民黨,5003,7.77%,*,是
余政達,7,男,1961,無黨籍及未經政黨推薦,8161,14.15%,*,是
吳上明,2,男,1947,無黨籍及未經政黨推薦,4520,5.63%,*,是
吳文相,18,男,1948,無黨籍及未經政黨推薦,1945,6.20%,*,是
吳世正,12,男,1963,中國國民黨,18223,8.32%,*,是
吳宏謀,2,男,1950,民主進步黨,6870,31.33%,*,是
吳志剛,4,男,1971,中國國民黨,21444,11.01%,*,是
吳秀華,8,女,1973,中國國民黨,4565,10.20%,*,否
吳昌運,3,男,1964,無黨籍及未經政黨推薦,7597,28.92%,*,否
吳青山,8,男,1956,中國國民黨,7045,13.02%,*,是
吳亮慶,4,男,1954,民主進步黨,9829,11.14%,*,是
吳思瑤,16,女,1974,民主進步黨,20302,6.64%,*,是
吳思蓉,5,女,1957,中國國民黨,7378,18.31%,*,是
吳秋穀,11,男,1950,民主進步黨,4743,8.76%,*,是
吳秋齡,3,女,1957,中國國民黨,7646,22.49%,*,是
吳益政,3,男,1963,親民黨,15910,11.86%,*,是
吳健保,1,男,1950,無黨籍及未經政黨推薦,14805,14.44%,*,否
吳國昌,4,男,1955,無黨籍及未經政黨推薦,6288,10.84%,*,是
吳國寶,9,男,1970,無黨籍及未經政黨推薦,5672,15.24%,*,是
吳敏濟,2,男,1956,民主進步黨,22165,29.61%,*,是
吳淑女,5,女,1953,中國國民黨,3383,14.70%,*,否
吳淑君,3,女,1971,中國國民黨,7537,19.47%,*,是
吳淑娟,1,女,1955,無黨籍及未經政黨推薦,13390,19.48%,*,是
吳通龍,2,男,1956,民主進步黨,14063,21.62%,*,是
吳勝松,9,男,1957,中國國民黨,5710,12.92%,*,是
吳景槐,9,男,1962,中國國民黨,3912,8.74%,*,是
吳棋祥,8,男,1967,中國國民黨,7813,10.40%,*,是
吳琪銘,4,男,1963,民主進步黨,30103,10.56%,*,是
吳菊花,1,女,1960,中國國民黨,6815,17.60%,*,是
吳傳地,6,男,1964,民主進步黨,6804,23.72%,*,否
吳滄得,1,男,1952,民主進步黨,6427,11.36%,*,否
吳瑞芳,10,女,1957,無黨籍及未經政黨推薦,6323,14.21%,*,是
吳碧珠,21,女,1949,中國國民黨,24030,7.86%,*,是
吳銘賜,11,男,1965,民主進步黨,24649,13.54%,*,否
吳瓊華,2,女,1969,中國國民黨,18268,15.95%,*,是
吳顯森,3,男,1959,中國國民黨,16674,11.84%,*,是
呂宏仁,5,男,1957,中國國民黨,6265,12.72%,*,否
呂明亮,7,男,1958,無黨籍及未經政黨推薦,5729,7.60%,*,否
呂林小鳳,4,女,1964,民主進步黨,11518,13.48%,*,否
呂美玲,1,女,1964,中國國民黨,5434,21.87%,*,是
呂啟宗,2,男,1952,無黨籍及未經政黨推薦,995,50.45%,*,否
呂淑真,3,女,1955,中國國民黨,7117,8.33%,*,否
呂黃春金,16,女,1960,民主進步黨,1645,5.25%,*,否
呂維胤,6,男,1981,民主進步黨,15588,23.43%,*,否
宋明宗,2,男,1967,中國國民黨,24326,7.96%,*,是
宋國進,2,男,1953,中國國民黨,1897,36.88%,*,是
宋瑋莉,3,女,1957,中國國民黨,3479,13.69%,*,是
宋懷琳,5,女,1955,中國國民黨,6542,8.71%,*,是
宋麗華,7,女,1968,中國國民黨,8483,9.61%,*,是
巫_昭,7,男,1963,無黨籍及未經政黨推薦,5869,12.79%,*,否
李中,3,男,1959,中國國民黨,15533,14.84%,*,是
李中岑,9,女,1985,中國國民黨,10890,11.09%,*,否
李天生,7,男,1961,民主進步黨,17546,12.20%,*,是
李文正,2,男,1959,民主進步黨,16116,65.30%,*,是
李文斌,16,男,1973,中國國民黨,8951,12.30%,*,是
李世斌,10,男,1962,民主進步黨,12560,12.16%,*,是
李光達,20,男,1966,台灣團結聯盟,9371,5.20%,*,否
